Country,term,estimate,std.error,statistic_term,pvalue_term,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
Austria,(Intercept),2.7343059821498263,0.1268297398999753,21.55887084769113,3.87855831586537e-12,0.9427578843227529,0.9386691617743781,0.2499072515481054,230.57516697910586,4.328149596261814e-10,1,0.5518813899245729,4.896237220150854,7.214003386870197,0.8743508812685923,14,16
Austria,days,0.046636438809174,0.003071277895543762,15.184701741526109,4.328149596261799e-10,0.9427578843227529,0.9386691617743781,0.2499072515481054,230.57516697910586,4.328149596261814e-10,1,0.5518813899245729,4.896237220150854,7.214003386870197,0.8743508812685923,14,16
Belgium,(Intercept),3.0940876393960495,0.13937101515666891,22.20036666819096,4.110211144787119e-11,0.9492831050999452,0.9450566971916072,0.30487545800084315,224.60754515133067,3.9254187461625055e-9,1,-2.1561578234231087,10.312315646846217,12.229487635691992,1.1153885386946865,12,14
Belgium,days,0.05091030691146925,0.003396984338147319,14.986912462256218,3.9254187461624915e-9,0.9492831050999452,0.9450566971916072,0.30487545800084315,224.60754515133067,3.9254187461625055e-9,1,-2.1561578234231087,10.312315646846217,12.229487635691992,1.1153885386946865,12,14
Brazil,(Intercept),3.2518920776198454,0.10839272700258946,30.00101729650329,9.45357978193756e-33,0.951080041724202,0.9500608759267896,0.39572798925726543,933.1946226402827,4.1416110840956594e-33,1,-23.574966819044228,53.149933638088456,58.886002654372895,7.516830791116722,48,50
Brazil,days,0.09599595297564807,0.0031424386705250595,30.548234362075373,4.1416110840956594e-33,0.951080041724202,0.9500608759267896,0.39572798925726543,933.1946226402827,4.1416110840956594e-33,1,-23.574966819044228,53.149933638088456,58.886002654372895,7.516830791116722,48,50
Canada,(Intercept),3.879242664262502,0.09451700430685654,41.04280169172787,6.905911471419029e-38,0.9187247800413104,0.9169579274335128,0.32404599866998557,519.9781668186287,1.0347821227793685e-26,1,-12.997868348744086,31.995736697488173,37.60933973021184,4.830267225685301,46,48
Canada,days,0.041087015052751086,0.0018018226289290451,22.803029772787404,1.0347821227793685e-26,0.9187247800413104,0.9169579274335128,0.32404599866998557,519.9781668186287,1.0347821227793685e-26,1,-12.997868348744086,31.995736697488173,37.60933973021184,4.830267225685301,46,48
England,(Intercept),4.54122149730413,0.15217566232325033,29.841969655158806,7.288800005664395e-24,0.8710911538141373,0.8667941922746085,0.5078812575001899,202.72258566914437,6.949967036893631e-15,1,-22.693173402599264,51.38634680519853,55.78355451359771,7.7383011515992255,30,32
England,days,0.04984967478590493,0.003501154379561555,14.238068185998566,6.949967036893557e-15,0.8710911538141373,0.8667941922746085,0.5078812575001899,202.72258566914437,6.949967036893631e-15,1,-22.693173402599264,51.38634680519853,55.78355451359771,7.7383011515992255,30,32
France,(Intercept),3.7041061966253443,0.15721597601739287,23.56062208471458,1.3737553756771575e-18,0.9260838463473192,0.923127200201212,0.46432804048716425,313.2210621709381,1.1837769195474929e-15,1,-16.55893853713651,39.11787707427302,43.005387672286005,5.390013229566241,25,27
France,days,0.06107707415524623,0.003451061870628042,17.698052496558432,1.1837769195474929e-15,0.9260838463473192,0.923127200201212,0.46432804048716425,313.2210621709381,1.1837769195474929e-15,1,-16.55893853713651,39.11787707427302,43.005387672286005,5.390013229566241,25,27
Germany,(Intercept),3.9707061458697055,0.14925598279294608,26.603329873737987,2.4726544807888896e-37,0.8522253141287206,0.8500197218022836,0.6298260773317325,386.3929448400995,1.5941223916101912e-29,1,-64.99248173630556,135.98496347261113,142.68728298640292,26.57761947503419,67,69
Germany,days,0.058929596894784955,0.0029979119710194955,19.65688034353619,1.5941223916101912e-29,0.8522253141287206,0.8500197218022836,0.6298260773317325,386.3929448400995,1.5941223916101912e-29,1,-64.99248173630556,135.98496347261113,142.68728298640292,26.57761947503419,67,69
Italy,(Intercept),2.910778121292096,0.10889373083674468,26.73044718851615,5.573457383722334e-22,0.9374540932282495,0.935297337822327,0.3488232045410066,434.65943827195656,5.308560288655344e-19,1,-10.304486290844373,26.608972581688747,30.910934195144186,3.528651212761452,29,31
Italy,days,0.05009892136851645,0.0024030002632854353,20.848487673497004,5.308560288655344e-19,0.9374540932282495,0.935297337822327,0.3488232045410066,434.65943827195656,5.308560288655344e-19,1,-10.304486290844373,26.608972581688747,30.910934195144186,3.528651212761452,29,31
Mexico,(Intercept),2.6137591566602243,0.11979496263308317,21.81860655247949,2.05372759607023e-8,0.9582382202295348,0.9530179977582266,0.18973577272978542,183.56271700991422,8.459814679695403e-7,1,3.5475608699606163,-1.0951217399212325,-0.18736646093909481,0.28799730762695025,8,10
Mexico,days,0.05710562257224624,0.004214893756535641,13.548531913455207,8.459814679695403e-7,0.9582382202295348,0.9530179977582266,0.18973577272978542,183.56271700991422,8.459814679695403e-7,1,3.5475608699606163,-1.0951217399212325,-0.18736646093909481,0.28799730762695025,8,10
Netherlands,(Intercept),3.417556465945058,0.15764018413121908,21.67947522251241,2.4542701649346804e-16,0.9216548538657506,0.9180937108596484,0.3865632266710296,258.8087173939482,1.1915660186715273e-13,1,-10.199352195379399,26.398704390758798,29.932865881802634,3.2874848207149916,22,24
Netherlands,days,0.05076230604972984,0.0031553816307151234,16.087532980353082,1.1915660186715356e-13,0.9216548538657506,0.9180937108596484,0.3865632266710296,258.8087173939482,1.1915660186715273e-13,1,-10.199352195379399,26.398704390758798,29.932865881802634,3.2874848207149916,22,24
Northern Ireland,(Intercept),2.33688623234717,0.06211092431648251,37.62439954104862,2.4368176145437235e-9,0.9300930745014181,0.9201063708587636,0.09438185484026368,93.13314060195653,2.703462229780082e-5,1,9.60412608825692,-13.208252176513842,-12.616578444505183,0.06235554166162024,7,9
Northern Ireland,days,0.02527936221906883,0.0026194733756647118,9.650551310777875,2.703462229780072e-5,0.9300930745014181,0.9201063708587636,0.09438185484026368,93.13314060195653,2.703462229780082e-5,1,9.60412608825692,-13.208252176513842,-12.616578444505183,0.06235554166162024,7,9
Peru,(Intercept),3.179783841191965,0.08437885438103884,37.68460551541345,1.848503839831184e-27,0.9661048712703163,0.9650114800209717,0.2189528075761159,883.5856989429797,2.381840534024607e-24,1,4.330283370371224,-2.660566740742448,1.828955943656993,1.4861502903093728,31,33
Peru,days,0.08780534394893856,0.0029539055812980485,29.725169451879992,2.381840534024607e-24,0.9661048712703163,0.9650114800209717,0.2189528075761159,883.5856989429797,2.381840534024607e-24,1,4.330283370371224,-2.660566740742448,1.828955943656993,1.4861502903093728,31,33
Portugal,(Intercept),3.9802459624339335,0.13105322871152889,30.371216349008478,3.1960227912795275e-26,0.8067948245093237,0.8011123193478332,0.4460829562286423,141.9787226902768,1.0942078649545389e-13,1,-20.99192337141572,47.98384674283144,52.73440355819977,6.765660130481282,34,36
Portugal,days,0.041857608183968754,0.003512875643957913,11.915482478283323,1.0942078649545351e-13,0.8067948245093237,0.8011123193478332,0.4460829562286423,141.9787226902768,1.0942078649545389e-13,1,-20.99192337141572,47.98384674283144,52.73440355819977,6.765660130481282,34,36
Scotland,(Intercept),2.553330992002157,0.075476393211772,33.82953110700467,1.9216998458487016e-18,0.9232126879172514,0.919171250439212,0.19193854149196177,228.43671167347256,4.816653971108337e-12,1,5.915348263985855,-5.8306965279717105,-2.697129214801441,0.699967670491169,19,21
Scotland,days,0.02996814736208717,0.001982791030519724,15.114122921078575,4.8166539711082864e-12,0.9232126879172514,0.919171250439212,0.19193854149196177,228.43671167347256,4.816653971108337e-12,1,5.915348263985855,-5.8306965279717105,-2.697129214801441,0.699967670491169,19,21
Spain,(Intercept),4.154432290776813,0.10196197998688958,40.74491581382586,4.376674970914563e-31,0.9526685158349457,0.9513161877159442,0.37719470639608893,704.4655083696097,8.95115880046112e-25,1,-15.39791427836939,36.79582855673878,41.62858229467145,4.97965462866311,35,37
Spain,days,0.06021571891001321,0.0022687153453411226,26.541769126597597,8.951158800461184e-25,0.9526685158349457,0.9513161877159442,0.37719470639608893,704.4655083696097,8.95115880046112e-25,1,-15.39791427836939,36.79582855673878,41.62858229467145,4.97965462866311,35,37
Switzerland,(Intercept),3.081240699017898,0.0894521340288236,34.44569246414009,1.7037067202478468e-34,0.911024795281933,0.9090905517011054,0.3152375426219447,470.9979675321771,8.331888126445738e-26,1,-11.67503544994915,29.3500708998983,34.96367393262197,4.57123658080283,46,48
Switzerland,days,0.04821422916944736,0.0022215992048226292,21.702487588573273,8.331888126445738e-26,0.911024795281933,0.9090905517011054,0.3152375426219447,470.9979675321771,8.331888126445738e-26,1,-11.67503544994915,29.3500708998983,34.96367393262197,4.57123658080283,46,48
United States,(Intercept),2.8220803366199543,0.04975999700708185,56.71383654260099,1.693101310806723e-61,0.9893274664139061,0.9891792367807659,0.2199507027413423,6674.289380978413,9.809879201654802e-73,1,8.074346465692892,-10.148692931385785,-3.2364976517732735,3.483238437821543,72,74
United States,days,0.08680581673647747,0.0010625425027480369,81.69632415830233,9.809879201654802e-73,0.9893274664139061,0.9891792367807659,0.2199507027413423,6674.289380978413,9.809879201654802e-73,1,8.074346465692892,-10.148692931385785,-3.2364976517732735,3.483238437821543,72,74
Wales,(Intercept),2.5697095678338813,0.057869490984056325,44.40525610536067,8.066538613657365e-13,0.9403200734203886,0.9343520807624275,0.11142688109352941,157.56052785454222,1.9113132050650645e-7,1,10.39930708001559,-14.798614160031178,-13.343894210667177,0.12415949830231542,10,12
Wales,days,0.028754532951972132,0.002290775894114209,12.55231165381669,1.911313205065061e-7,0.9403200734203886,0.9343520807624275,0.11142688109352941,157.56052785454222,1.9113132050650645e-7,1,10.39930708001559,-14.798614160031178,-13.343894210667177,0.12415949830231542,10,12
